[Header]2015-03-15 18:09:41,839 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2015-03-15 18:10:01,843 [5] INFO  CDPW.DUSAForm [(null)] - DUSAForm-RaiseCallbackEvent - Exit
2015-03-15 18:10:01,912 [15] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Enter
2015-03-15 18:10:01,912 [15] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Exit
2015-03-15 18:10:01,912 [15] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2015-03-15 18:10:01,912 [15] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2015-03-15 18:10:02,180 [15] INFO  CDPW.DUSAForm [(null)] - DUSAForm-btnSaveForm_Click - Enter
2015-03-15 18:10:02,182 [15] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_AddInfo - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,187 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,393 [15] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_AddInfo - Exit
2015-03-15 18:10:02,395 [15] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_AddInfo_Person - Enter
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,396 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Enter
2015-03-15 18:10:02,397 [15] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnToDB - Exit
2015-03-15 18:10:02,455 [15] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_AddInfo_Person - Exit
2015-03-15 18:10:02,516 [15] ERROR CDPW.DUSAForm [(null)] - DUSAForm-btnSaveForm_Click - Error
System.Threading.ThreadAbortException: Thread was being aborted.
   at System.Threading.Thread.AbortInternal()
   at System.Threading.Thread.Abort(Object stateInfo)
   at System.Web.HttpResponse.AbortCurrentThread()
   at System.Web.HttpResponse.End()
   at System.Web.HttpResponse.Redirect(String url, Boolean endResponse, Boolean permanent)
   at System.Web.HttpResponse.Redirect(String url, Boolean endResponse)
   at CDPW.DUSAForm.btnSaveForm_Click(Object sender, EventArgs e) in K:\Projects\CS\CDPW_Project_\CDPW\CDPW\DUSAForm.aspx.cs:line 274
