[Header]2013-01-21 10:23:20,736 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-21 10:23:20,784 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-21 10:23:20,804 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:20,805 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:25,476 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-21 10:23:25,476 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-21 10:23:25,476 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:25,477 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:25,795 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-btnNoSignUp_Click - Enter
2013-01-21 10:23:25,816 [5] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Enter
2013-01-21 10:23:29,712 [5] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Exit
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,716 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:29,717 [5] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:29,730 [5] INFO  CDPW.cdplogin [(null)] - cdplogin-btnNoSignUp_Click - Exit
2013-01-21 10:23:29,757 [6] INFO  CDPW.cdpselectpay [(null)] - cdpselectpay-Page_Load - Enter
2013-01-21 10:23:29,757 [6] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:29,757 [6] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:31,490 [5] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Enter
2013-01-21 10:23:31,527 [5] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Enter
2013-01-21 10:23:33,270 [5] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Exit
2013-01-21 10:23:33,279 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2013-01-21 10:23:33,471 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2013-01-21 10:23:33,472 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:23:33,486 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:23:33,488 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Enter
2013-01-21 10:23:33,559 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Exit
2013-01-21 10:23:33,559 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:23:33,560 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:23:33,560 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2013-01-21 10:23:33,565 [5] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2013-01-21 10:23:33,565 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:23:33,567 [5] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:23:33,567 [5] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Exit
2013-01-21 10:23:33,567 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:33,567 [5] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:33,568 [5] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_LoadComplete - Enter
2013-01-21 10:23:33,568 [5] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_LoadComplete - Exit
2013-01-21 10:23:44,785 [6] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-21 10:23:44,785 [6] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-21 10:23:44,785 [6] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:44,785 [6] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:52,443 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-21 10:23:52,443 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-21 10:23:52,443 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:52,443 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:23:52,446 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-btnLogin_Click - Enter
2013-01-21 10:23:52,447 [4] INFO  CDPW.DAL.Users [(null)] - Users-Login_Authenticate - Enter
2013-01-21 10:23:52,746 [4] INFO  CDPW.DAL.Users [(null)] - Users-Login_Authenticate - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,747 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-21 10:23:52,748 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-21 10:23:52,762 [4] INFO  CDPW.cdplogout [(null)] - cdplogout-UserData_Delete - Enter
2013-01-21 10:23:53,109 [4] INFO  CDPW.cdplogout [(null)] - cdplogout-UserData_Delete - Exit
2013-01-21 10:23:53,109 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-btnLogin_Click - Exit
2013-01-21 10:23:53,418 [12] INFO  CDPW.cdpselectpay [(null)] - cdpselectpay-Page_Load - Enter
2013-01-21 10:23:53,418 [12] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-21 10:23:53,418 [12] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-21 10:24:28,091 [10] INFO  CDPW.DUSAForm [(null)] - DUSAForm-Page_Load - Enter
2013-01-21 10:24:28,091 [10] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Enter
2013-01-21 10:24:28,242 [10] INFO  CDPW.DAL.FormUSA [(null)] - FormUSA-Form_Get - Exit
2013-01-21 10:24:28,286 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2013-01-21 10:24:28,291 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2013-01-21 10:24:28,291 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:24:28,293 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:24:28,293 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Enter
2013-01-21 10:24:28,298 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Regions - Exit
2013-01-21 10:24:28,298 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:24:28,298 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:24:28,298 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Enter
2013-01-21 10:24:28,304 [10] INFO  CDPW.DAL.Lists [(null)] - Lists-Countries - Exit
2013-01-21 10:24:28,304 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Enter
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.Helpers [(null)] - Helpers-Lists - Exit
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,306 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2013-01-21 10:24:28,307 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,307 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
2013-01-21 10:24:28,307 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Enter
2013-01-21 10:24:28,307 [10] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnBitFromDB - Exit
