[Header]2013-01-27 10:34:14,766 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-27 10:34:14,791 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-27 10:34:14,793 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-27 10:34:14,793 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-27 10:34:38,030 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Enter
2013-01-27 10:34:38,030 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-Page_Load - Exit
2013-01-27 10:34:38,030 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Enter
2013-01-27 10:34:38,030 [4] INFO  CDPW.Site1 [(null)] - Site1-Page_Load - Exit
2013-01-27 10:34:38,084 [4] INFO  CDPW.cdplogin [(null)] - cdplogin-btnNoSignUp_Click - Enter
2013-01-27 10:34:38,098 [4] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Enter
2013-01-27 10:34:43,573 [4] INFO  CDPW.DAL.Users [(null)] - Users-Add_NoUser - Exit
2013-01-27 10:34:43,576 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-27 10:34:43,576 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Enter
2013-01-27 10:34:43,577 [4] INFO  CDPW.BLL.TextUtils [(null)] - TextUtils-ReturnFromDB - Exit
